Name,Team,Pos,PA,GROOVE,Damage/BBE,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Whiff vs. Secondaries (%),Z-Swing (%),Zone (%)
Roman Anthony,BOS,LF,143,0.44,58.9,67.7,28.2,20.8,85.7,39.3,52.6,49.5
Seiya Suzuki,CHC,RF,478,0.44,39.9,63.9,25.9,22.8,88.0,30.1,60.1,47.4
Cole Mathis,CHC,3B,1,0.42,,75.0,40.0,0.0,100.0,0.0,25.0,80.0
Jack Pineda,KC,SS,2,0.42,0.0,100.0,0.0,50.0,100.0,0.0,100.0,20.0
Ariel Armas,CHC,C,1,0.42,0.0,75.0,40.0,0.0,100.0,0.0,33.3,60.0
Gary Sánchez,MIL,C,220,0.41,55.8,70.1,24.7,21.0,83.6,36.3,52.2,46.4
Kyle West,NYY,1B,2,0.39,0.0,57.1,20.0,25.0,100.0,0.0,60.0,62.5
Taylor Ward,SEA,LF,543,0.38,53.5,67.1,26.5,14.7,88.9,22.8,54.8,50.0
Jackson Chourio,MIL,LF,426,0.38,41.7,60.5,25.7,33.7,88.2,28.3,62.1,47.6
Nelson Velázquez,HOU,LF,91,0.38,46.6,54.5,24.7,31.2,78.0,40.0,68.3,50.8
Dalton Rushing,LAD,C,252,0.37,41.7,58.7,20.9,29.7,79.6,33.3,70.0,47.4
Kevin McGonigle,DET,SS,563,0.35,40.2,61.8,20.5,19.5,90.9,20.9,67.5,49.1
Spencer Steer,CIN,1B,396,0.35,43.0,60.0,23.8,26.1,86.6,24.8,65.4,49.4
A.J. Ewing,NYM,CF,357,0.34,42.7,60.5,21.5,26.7,84.3,34.4,66.8,47.7
Connor Joe,SEA,RF,55,0.34,32.2,64.7,26.3,26.9,82.4,34.1,55.7,48.2
Endy Rodríguez,PIT,C,159,0.34,47.0,62.7,22.5,26.1,88.0,29.8,64.4,48.7
Byron Buxton,MIN,CF,394,0.33,40.3,56.6,18.3,33.7,84.8,35.6,74.3,46.6
Charlie Szykowny,SF,3B,4,0.33,0.0,60.0,14.3,37.5,100.0,0.0,66.7,50.0
Bryan Reynolds,PIT,LF,563,0.32,51.3,60.7,19.6,25.0,86.1,34.5,69.0,47.9
Joshua Mears,SD,RF,1,0.32,,33.3,0.0,0.0,100.0,0.0,100.0,100.0
Bryant Betancourt,COL,C,2,0.32,0.0,25.0,0.0,0.0,100.0,0.0,100.0,150.0
Carlos Correa,HOU,SS,143,0.31,43.4,62.2,26.1,31.5,84.9,32.3,61.9,44.7
Hunter Feduccia,LAD,C,198,0.3,37.7,63.5,22.6,25.8,84.4,31.0,63.6,47.4
Justin Foscue,TEX,2B,174,0.3,36.5,60.6,26.2,26.3,87.1,23.0,59.8,51.5
José Ramírez,CLE,3B,407,0.29,38.6,62.4,19.5,28.8,93.0,17.1,66.7,44.3
JJ Wetherholt,STL,2B,556,0.29,45.5,61.8,23.2,21.0,87.2,18.6,63.2,49.5
Lars Nootbaar,AZ,LF,226,0.29,52.4,66.0,28.8,19.1,89.1,25.0,54.0,50.7
Andrew Vaughn,MIL,1B,272,0.29,50.7,65.9,24.7,22.8,89.2,29.7,57.3,47.6
Sam Antonacci,CWS,LF,429,0.29,43.1,61.5,25.3,21.8,91.2,15.0,62.9,50.1
Andy Pages,LAD,CF,558,0.28,37.4,61.1,21.8,31.7,90.9,25.4,66.4,46.0
Mickey Gasper,BOS,C,138,0.26,43.1,62.6,22.0,23.3,95.3,23.3,60.2,49.2
Francisco Lindor,NYM,SS,317,0.24,42.2,63.1,20.4,28.0,85.2,26.5,67.9,45.4
Giancarlo Stanton,NYY,DH,102,0.24,36.1,65.6,25.3,30.6,76.3,44.7,62.4,46.2
Ruben Ibarra,CIN,1B,3,0.23,0.0,87.5,22.2,16.7,100.0,,33.3,50.0
Mason McCoy,SD,2B,5,0.23,0.0,63.6,22.2,20.0,100.0,0.0,50.0,83.3
Jason Schiavone,HOU,C,2,0.23,0.0,66.7,14.3,33.3,50.0,,40.0,50.0
Brady House,WSH,3B,255,0.23,43.3,57.7,24.2,34.8,79.0,36.6,70.9,46.7
Luke Raley,SEA,RF,292,0.23,45.5,55.3,19.5,34.3,73.7,47.6,76.4,46.0
RJ Schreck,TOR,LF,1,0.22,0.0,50.0,0.0,0.0,100.0,0.0,100.0,100.0
Julio Rodríguez,SEA,CF,511,0.22,40.2,59.2,22.3,39.1,86.2,32.9,69.7,44.0
Jack Suwinski,LAD,CF,4,0.22,0.0,81.2,0.0,31.2,100.0,14.3,71.4,30.4
D'Andre Smith,NYM,SS,1,0.22,0.0,50.0,0.0,50.0,100.0,0.0,100.0,50.0
William Contreras,MIL,C,518,0.22,42.2,60.3,19.5,28.3,89.0,27.4,67.8,47.3
Randy Martinez,CLE,2B,2,0.22,0.0,33.3,0.0,50.0,100.0,,100.0,100.0
Eddie Rynders,PIT,SS,1,0.21,,80.0,20.0,0.0,0.0,,50.0,33.3
Jose Monzon,TB,3B,2,0.21,0.0,66.7,20.0,0.0,50.0,50.0,66.7,50.0
Michael Harris II,ATL,CF,493,0.21,38.0,54.3,23.7,44.2,90.7,29.4,71.0,45.5
Brewer Hicklen,ATL,RF,23,0.21,76.9,60.3,19.1,28.8,73.3,37.5,75.0,43.5
Abraham Toro,KC,1B,5,0.21,0.0,68.8,26.7,0.0,80.0,0.0,45.5,57.9
Luis Campusano,SD,C,163,0.2,47.1,61.6,20.2,26.2,87.0,33.3,64.6,47.8
Will Benson,CIN,RF,125,0.2,40.8,63.3,13.6,22.0,74.7,43.6,68.3,48.5
Lane Thomas,ATL,CF,356,0.19,40.8,62.1,23.5,21.0,86.2,29.7,62.7,49.1
Josh Bell,MIN,DH,507,0.19,34.4,59.6,18.5,30.6,86.2,26.0,72.3,46.1
Corey Seager,TEX,SS,288,0.19,43.6,59.5,12.4,27.9,81.1,36.6,82.5,43.5
Jhonny Pereda,SEA,C,76,0.19,33.0,57.7,19.1,27.5,85.1,26.7,71.2,50.2
Kyle Stowers,MIA,1B,399,0.19,43.3,58.0,16.8,32.6,78.5,41.0,76.1,45.9
P.J. Higgins,CIN,C,40,0.18,38.7,64.3,26.0,16.0,89.8,30.8,60.5,51.6
Jordan Nwogu,CHC,OF,4,0.18,0.0,58.3,12.5,12.5,100.0,100.0,83.3,50.0
Nolan Schanuel,LAA,1B,453,0.17,44.0,63.0,22.5,26.6,93.0,24.9,61.9,48.7
JJ Bleday,CIN,LF,409,0.17,40.4,58.6,19.7,22.3,83.6,36.4,71.1,49.3
Clark Elliott,ATH,OF,4,0.17,0.0,90.0,30.8,11.1,0.0,100.0,16.7,40.0
Mookie Betts,LAD,SS,392,0.17,39.2,59.2,28.2,19.8,94.3,21.9,62.6,52.6
